X,Y,Z,Yaw,Pitch,Roll
-0.212656, 18.5834, -15.7958, 34.1988, -12.6067, 121.541
-0.185703, 18.7732, -16.0175, 34.1389, -12.7374, 121.463
-0.15819, 18.9512, -16.2569, 34.0755, -12.8698, 121.376
-0.130146, 19.1168, -16.5138, 34.0084, -13.0036, 121.28
-0.101325, 19.2678, -16.7881, 33.937, -13.1389, 121.176
-0.0717908, 19.4029, -17.0783, 33.8618, -13.2752, 121.063
-0.0416401, 19.5214, -17.3826, 33.7833, -13.4118, 120.944
-0.0109606, 19.623, -17.6995, 33.702, -13.5484, 120.819
0.0201752, 19.7071, -18.0277, 33.6181, -13.6842, 120.689
0.0520102, 19.7734, -18.368, 33.5317, -13.8196, 120.555
0.0849584, 19.821, -18.7223, 33.442, -13.9555, 120.418
0.119373, 19.8491, -19.0924, 33.3489, -14.0924, 120.278
0.155547, 19.8579, -19.4791, 33.252, -14.2312, 120.135
0.193613, 19.8474, -19.8833, 33.1511, -14.3721, 119.991
0.233899, 19.8183, -20.3061, 33.0458, -14.516, 119.844
0.276422, 19.7726, -20.7454, 32.9366, -14.6626, 119.696
0.321324, 19.7137, -21.1993, 32.8236, -14.8127, 119.55
0.368678, 19.643, -21.6659, 32.7073, -14.966, 119.406
0.418481, 19.563, -22.1424, 32.5881, -15.1224, 119.265
0.470945, 19.4752, -22.6277, 32.4667, -15.2824, 119.13
0.526047, 19.3811, -23.1201, 32.3435, -15.4457, 119.002
0.584106, 19.2821, -23.6208, 32.2184, -15.6137, 118.881
0.645552, 19.1795, -24.1316, 32.0911, -15.7876, 118.767
0.710446, 19.0733, -24.6516, 31.9622, -15.9674, 118.661
0.778309, 18.9657, -25.1778, 31.8331, -16.1516, 118.564
0.849264, 18.8582, -25.7104, 31.7037, -16.3407, 118.475
0.923829, 18.7514, -26.2521, 31.5737, -16.5358, 118.393
1.00228, 18.6461, -26.8048, 31.4428, -16.7377, 118.317
1.08466, 18.5429, -27.3679, 31.3111, -16.9465, 118.246
1.17052, 18.4436, -27.9385, 31.1792, -17.1611, 118.181
1.259, 18.3495, -28.5115, 31.0487, -17.3795, 118.119
1.34976, 18.2648, -29.0821, 30.9201, -17.6009, 118.062
1.44261, 18.1921, -29.6474, 30.794, -17.8249, 118.006
1.53747, 18.1341, -30.2056, 30.6705, -18.0513, 117.953
1.63377, 18.092, -30.7528, 30.5505, -18.2788, 117.902
1.73112, 18.0661, -31.2873, 30.4343, -18.5066, 117.851
1.82925, 18.0576, -31.808, 30.322, -18.7342, 117.802
1.92763, 18.0672, -32.3126, 30.2143, -18.9605, 117.752
2.02587, 18.0947, -32.7998, 30.1112, -19.1849, 117.701
2.12327, 18.1404, -33.2674, 30.0128, -19.4061, 117.65
2.21948, 18.2042, -33.7142, 29.9193, -19.6234, 117.598
2.31397, 18.2865, -34.1378, 29.8309, -19.8358, 117.546
2.40574, 18.3872, -34.5337, 29.7479, -20.0412, 117.493
2.49405, 18.5063, -34.899, 29.6706, -20.2382, 117.44
2.57835, 18.643, -35.2314, 29.5987, -20.4257, 117.388
2.65757, 18.7968, -35.5265, 29.5326, -20.6017, 117.336
2.73048, 18.9668, -35.7788, 29.473, -20.7633, 117.287
2.79625, 19.1528, -35.9838, 29.4202, -20.909, 117.242
2.85445, 19.3539, -36.1406, 29.3745, -21.0376, 117.199
2.90505, 19.569, -36.2498, 29.3354, -21.1494, 117.161
2.94834, 19.7968, -36.3133, 29.3024, -21.2449, 117.126
2.98372, 20.0317, -36.3331, 29.2757, -21.3229, 117.097
3.01083, 20.2694, -36.3103, 29.2555, -21.3826, 117.075
3.02945, 20.5065, -36.2459, 29.2422, -21.4235, 117.061
3.04002, 20.7423, -36.143, 29.2351, -21.4464, 117.053
3.04325, 20.9759, -36.0058, 29.2337, -21.4532, 117.052
3.04001, 21.2075, -35.8377, 29.237, -21.4456, 117.057
3.03099, 21.4358, -35.6435, 29.2445, -21.4253, 117.068
3.01723, 21.6611, -35.4283, 29.255, -21.3946, 117.083
2.99974, 21.8834, -35.197, 29.268, -21.3559, 117.102
2.97949, 22.103, -34.9543, 29.2824, -21.3112, 117.122
2.95748, 22.32, -34.7048, 29.2976, -21.2628, 117.144
2.93498, 22.5351, -34.4545, 29.3127, -21.2135, 117.165
2.9132, 22.7489, -34.2088, 29.327, -21.1658, 117.186
2.89341, 22.9621, -33.9739, 29.3396, -21.1227, 117.204
2.87739, 23.1761, -33.7571, 29.3493, -21.088, 117.218
2.86616, 23.3913, -33.5637, 29.3553, -21.0639, 117.226
2.86045, 23.6072, -33.3975, 29.3573, -21.052, 117.229
2.86092, 23.8243, -33.2611, 29.3548, -21.0538, 117.225
2.86782, 24.0422, -33.156, 29.3476, -21.0699, 117.215
2.88186, 24.2617, -33.0853, 29.3349, -21.1019, 117.197
2.90397, 24.4853, -33.0514, 29.3159, -21.1519, 117.17
2.93589, 24.7161, -33.0586, 29.2891, -21.2237, 117.131
2.97846, 24.9552, -33.1087, 29.2539, -21.3188, 117.081
